logFC,PValue,FDR,Gene_name
11.23540662,1.4115999999999994e-296,2.5465999999999985e-293,STnc440
-2.1074003980000002,1.82025e-26,1.6418600000000002e-23,STnc890
-1.719296173,6.32722e-16,3.80477e-13,DapZ
-1.775973071,2.32576e-14,1.04892e-11,celB
-1.742682829,5.30799e-14,1.91512e-11,MicA
-1.532675785,1.33732e-13,4.02087e-11,STnc800
-1.146027848,3.78797e-13,8.59937e-11,SLnc0014
-1.3856976269999999,3.8134699999999997e-13,8.59937e-11,sopE
-1.329897968,2.5571900000000003e-12,5.125740000000001e-10,RybB
-1.546341143,1.048e-11,1.7611500000000003e-09,STnc1190
-1.4200381690000001,1.07387e-11,1.7611500000000003e-09,grxA
-1.5927106309999999,1.40319e-11,2.1094699999999997e-09,ecnB
-1.191403168,3.36874e-11,4.67478e-09,dnaJ
-1.095956121,3.97809e-11,5.12605e-09,SL1344_2610
-1.304507975,1.8666700000000001e-10,2.24499e-08,sopE2
1.5011081,5.734580000000001e-10,6.46574e-08,SL1344_3495
-1.278537577,6.63699e-10,7.04302e-08,STnc780
-1.304876102,7.82279e-10,7.84018e-08,glnA
-1.003045238,3.24291e-09,3.0790500000000003e-07,STnc600
-1.565909372,4.02569e-09,3.63117e-07,SL1344_3963
-1.149042816,7.680020000000001e-09,6.597499999999999e-07,SL1344_4251
-1.408230331,1.06391e-08,8.724030000000001e-07,SL1344_4429
-1.3624607780000002,1.00061e-07,7.84828e-06,STnc1920
-1.249687711,1.1135500000000001e-07,8.37017e-06,SL1344_4249
-1.49608252,1.50428e-07,1.08549e-05,SL1344_4248
-0.849124455,2.8226e-07,1.9584500000000002e-05,CyaR
-1.383794076,3.07441e-07,2.04959e-05,phnA
-0.872868874,3.18118e-07,2.04959e-05,SroC
-0.8191358959999999,1.25615e-06,7.81409e-05,ybeJ
-0.9394242629999999,3.62837e-06,0.000218186,sodB
-0.842809789,5.0565199999999995e-06,0.000294257,asnA
-1.016439741,2.04856e-05,0.001154876,SL1344_4250
-0.792261025,2.76979e-05,0.001514151,SL1344_2984
