Genome,Type,Start,End,Strand,Locus_tag,Gene_name,MS2-PinT_SPI-1_vs_PinT_SPI-1_log2FoldChange,MS2-PinT_SPI-1_vs_PinT_SPI-1_pvalue,MS2-PinT_SPI-1_vs_PinT_SPI-1_padj,MS2-PinT_SPI-1_vs_MS2_SPI-1_log2FoldChange,MS2-PinT_SPI-1_vs_MS2_SPI-1_pvalue,MS2-PinT_SPI-1_vs_MS2_SPI-1_padj
NC_016810.1,CDS,1188287,1188613,+,SL1344_1082,SL1344_1082,10.15,2.84635e-12,2.2923300000000002e-10,3.75,0.00044753800000000004,0.016181145
NC_016810.1,CDS,1581046,1581534,+,SL1344_1476,SL1344_1476,10.02,3.43003e-13,4.35759e-11,2.32,0.010648996,0.098814481
NC_016810.1,CDS,4243537,4244400,-,SL1344_3959,SL1344_3959,8.56,1.25009e-12,1.19955e-10,4.33,6.40366e-06,0.001013527
NC_016810.1,sRNA,4070922,4071037,-,ncRNA0303,STnc3170,8.5,2.57976e-19,1.16347e-15,2.93,0.000522761,0.017721348
NC_016810.1,sRNA,1915824,1916082,+,ncRNA0334,STnc3640,8.47,2.04708e-09,5.2307800000000003e-08,0.13,0.891766921,0.9609999440000001
NC_016810.1,CDS,385794,386294,+,SL1344_0337,SL1344_0337,8.35,1.03218e-09,2.87355e-08,-0.56,0.518239838,0.7699976009999999
NC_016810.1,CDS,3262534,3263007,-,SL1344_3056,SL1344_3056,8.28,7.19649e-09,1.40199e-07,2.67,0.0058347830000000005,0.069709756
NC_016810.1,CDS,2770636,2770791,+,SL1344_2596,SL1344_2596,8.24,2.5404900000000003e-08,4.0272799999999995e-07,2.52,0.01914966,0.14011237
NC_016810.1,CDS,2454403,2454846,-,SL1344_2313,SL1344_2313,7.94,5.22928e-08,7.11227e-07,3.31,0.00125723,0.030290257
NC_016810.1,CDS,1602344,1602487,+,SL1344_1495,rpsV,7.88,1.18614e-16,1.18878e-13,4.71,5.693199999999999e-07,0.00022592
NC_016810.1,CDS,1990157,1990462,-,SL1344_1872,SL1344_1872,7.88,3.07894e-15,1.15717e-12,0.19,0.832612715,0.937135565
