Gene_name,MAPS_logFC,MAPS_pValue,MAPS_FDR,Pulse_logFC,Pulse_pValue,Pulse_FDR,MFE,MFE_pValue,combi_2pvals,combi_3pvals
SL1344_1082,10.15,1.423175e-12,2.29233e-10,0.03604306,0.873925035,0.988871448,-10.260000228881836,0.04508670520231214,2.0133642719263268e-12,2.7870303246417273e-11
rpsV,7.88,5.9307e-17,1.18878e-13,-0.972418405,3.01342e-05,0.001598884,-6.690000057220459,0.27061490507225844,6.3669188642125e-16,6.0673837498032e-19
SL1344_1872,7.88,1.53947e-15,1.15717e-12,-0.140645097,0.444307523,0.951670844,-8.880000114440918,0.20945134160993192,1.1824217683058415e-14,1.0070681984666767e-13
SL1344_3553,7.82,7.74665e-10,4.12242e-08,-0.400891971,0.10072086,0.649844828,-1.1599999666213991,0.9572344975053456,1.633032763232362e-08,2.2120782112954358e-08
SL1344_1896,7.79,3.913765e-07,6.795410000000002e-06,-0.137470491,0.49180752,0.951670844,-2.640000104904175,0.6954250211804575,4.38656557513682e-06,1.901642106507426e-05
SL1344_3813,7.55,8.1749e-15,3.68688e-12,0.610771692,0.022957212,0.360128785,-7.5999999046325675,0.16084275436793422,4.636905891640505e-14,2.3017538339716696e-14
rpsU,7.39,5.2854499999999996e-17,1.18878e-13,-0.4283332970000001,0.010585458999999998,0.214563695,-4.070000171661377,0.5530188419749691,1.1420374273914312e-15,2.945056743468873e-16
SL1344_2438,7.38,6.2621499999999994e-15,2.9966200000000002e-12,-0.545527526,0.004097075,0.104100339,-1.2300000190734863,0.9416559416559416,1.9910141384945794e-13,1.8633000775764973e-14
StyR-99,7.38,1.7965350000000004e-07,3.58116e-06,-0.230861957,0.331211023,0.897480257,-4.71999979019165,0.5382361149874407,1.6585002141505557e-06,5.353386290254864e-06
SL1344_3816,7.33,1.61357e-07,3.30774e-06,0.195848734,0.4815453,0.951670844,-7.639999866485597,0.29342946537886,8.458885351042881e-07,3.953811995503412e-06
SL1344_4250,7.33,3.38723e-10,2.09266e-08,-1.016439741,2.04856e-05,0.001154876,-7.369999885559082,0.21061946902654868,1.7381353974746477e-09,9.040537026621647e-13
recO,7.15,6.0393e-16,5.73417e-13,0.451592836,0.054282689,0.539442558,-4.309999942779541,0.5294287362954414,1.1727675933253798e-14,1.3612253792936435e-14
rfaP,7.1,2.012405e-14,7.26075e-12,-0.074548379,0.764831536,0.980552058,-3.140000104904175,0.7037717191693742,4.657863977612273e-13,5.95948839970454e-12
SL1344_4249,7.03,1.260695e-09,6.08367e-08,-1.249687711,1.11355e-07,8.37017e-06,-5.449999809265137,0.32188582617864137,9.181286998975755e-09,3.374893763374929e-14
SL1344_0386,7.03,9.99755e-12,1.14877e-09,-0.037868218,0.87612768,0.988871448,-10.760000228881836,0.06048941435248832,1.7618648964741415e-11,2.2716955943994603e-10
SL1344_0962,7.0,4.416825e-17,1.1382799999999999e-13,-0.288896353,0.255389859,0.865346655,-3.829999923706055,0.5599125364431486,9.703821127241105e-16,5.209470209174244e-15
SL1344_1669,6.98,4.144125e-15,2.26627e-12,-0.045308737,0.860059903,0.988871448,-14.43000030517578,0.01142390860873113,1.826890730205368e-15,3.057399608638618e-14
STnc650,6.92,4.145615e-15,2.26627e-12,0.141191782,0.495619603,0.951670844,-4.139999866485597,0.5068639210982274,7.311603602471114e-14,6.566827672010481e-13
SL1344_1127,6.88,2.226775e-17,6.695169999999998e-14,-0.19636170000000006,0.333297051,0.898756175,-5.420000076293945,0.5215113072255929,4.644504965417602e-16,3.2699209743632207e-15
ecnB,6.85,5.98935e-15,2.9966200000000002e-12,-1.592710631,1.40319e-11,2.10947e-09,-7.559999942779541,0.1332079838009835,2.8534073146613275e-14,2.0666573455872567e-23
rfaI,6.83,1.0616199999999999e-13,2.9464e-11,-0.06798277700000001,0.7831472279999999,0.980552058,-5.6500000953674325,0.28900293255131965,9.853284141662381e-13,1.2592286802032031e-11
STnc1190,6.82,9.2208e-15,3.86846e-12,-1.546341143,1.048e-11,1.7611500000000003e-09,-7.860000133514403,0.1313060538116592,4.2796921869969107e-14,2.332732228772326e-23
mglA,6.77,2.69859e-15,1.64348e-12,-0.558630567,0.002066111,0.063173973,-1.2599999904632568,0.8196773173046504,7.685476231956962e-14,3.829852507790297e-15
rpl32,6.7,1.871595e-16,2.5972e-13,-0.593142576,0.003219668,0.08935817800000001,-8.850000381469727,0.12355046528274875,9.088904331557304e-16,7.556630767062112e-17
pagP,6.7,1.37749e-10,1.06261e-08,-0.232994612,0.25879635300000003,0.865346655,-4.690000057220459,0.271356783919598,9.348485194553367e-10,3.3660926173897075e-09
iagB,6.68,3.45268e-13,7.41504e-11,-0.17137320399999995,0.265941625,0.865346655,-0.05000000074505806,0.99830220713073,1.0235724247903414e-11,4.414963144516576e-11
rplK,6.67,8.48785e-17,1.53121e-13,-0.016616258000000002,0.942144051,0.990619629,-3.359999895095825,0.7118504261754193,2.316847420356563e-15,4.2008678825476875e-14
SL1344_1840,6.62,1.42785e-11,1.58027e-09,-0.28237170100000003,0.214286087,0.840851232,-15.449999809265135,0.012403493228705226,5.37721740440487e-12,1.9331526646059813e-11
sipF,6.6,2.6857549999999998e-14,9.14171e-12,-0.12500589,0.492126433,0.951670844,-8.479999542236326,0.1548128711503936,1.418414441906361e-13,1.2416672002166762e-12
SL1344_2696,6.58,9.95815e-13,1.76882e-10,0.141797159,0.570586392,0.962120616,-6.75,0.21075455333911536,6.336529814210523e-12,5.668802560186474e-11
dksA,6.56,9.801549999999999e-13,1.7682e-10,-0.072886958,0.709664552,0.980552058,-0.7599999904632568,0.949748743718593,2.6719300325221757e-11,2.7899818561895444e-10
SL1344_4344,6.54,1.3842250000000002e-10,1.06261e-08,-0.041592781,0.8695147240000001,0.988871448,-0.7099999785423279,0.9517108576507184,3.128809103339742e-09,3.2745537573199566e-08
ompD,6.53,1.355735e-12,2.2438e-10,-0.7577169420000001,0.000153124,0.006424076999999999,-1.1399999856948853,0.8949993260547243,3.450568119501297e-11,1.2880139431555033e-13
SL1344_4400,6.53,2.42145e-16,2.7997199999999996e-13,-0.445783186,0.047240073,0.510305938,-7.800000190734862,0.3716757857233745,3.4151840364778347e-15,3.575446308466815e-15
SL1344_2752,6.5,2.524725e-15,1.62665e-12,0.07374649400000001,0.7544676220000001,0.980552058,-3.0299999713897705,0.5379909851899549,4.785565349334951e-14,6.467708225292221e-13
rfbV,6.5,5.5535500000000005e-14,1.69807e-11,0.321401174,0.216042492,0.840851232,-5.489999771118164,0.33044571747939083,5.98791280208721e-13,2.315378292569722e-12
grxA,6.49,5.9025e-13,1.17476e-10,-1.420038169,1.07387e-11,1.7611500000000003e-09,-5.670000076293945,0.25584732386282105,4.6091558239149456e-12,2.523555922618433e-21
apbA,6.49,8.9056e-12,1.06396e-09,0.090875285,0.7083499209999999,0.980552058,-4.0300002098083505,0.6558110819570921,1.5690925360536645e-10,1.5336851900515782e-09
SL1344_0339,6.48,4.88812e-14,1.52037e-11,-0.298936443,0.225145264,0.8514927809999999,-6.360000133514403,0.3209276489376475,5.143235489718605e-13,2.0766112291446933e-12
rfaD,6.46,3.0877e-15,1.79684e-12,0.093960415,0.637443865,0.974581643,-8.039999961853027,0.17887960553348856,1.9956879822938145e-14,2.357671727007823e-13
STnc590,6.44,2.687355e-10,1.7629099999999997e-08,-0.37189463,0.08452900699999999,0.630120645,-7.789999961853027,0.17544587308170884,1.1682330990944477e-09,1.4815279114128406e-09
SL1344_4248,6.44,2.397035e-08,6.704259999999999e-07,-1.49608252,1.50428e-07,1.08549e-05,-4.059999942779541,0.5503076923076923,2.5252619002109837e-07,1.2062268245047492e-12
SL1344_3330,6.41,3.7733300000000006e-10,2.26903e-08,-0.386276206,0.104356381,0.649844828,-4.0,0.7310325156873929,6.347468702893996e-09,9.20618000550971e-09
STnc1490,6.41,5.9774e-12,7.593810000000001e-10,-0.219821817,0.382474678,0.929724271,-3.400000095367432,0.6713459950454169,1.0931753639338077e-10,6.111606005613478e-10
STnc1080,6.39,1.228495e-12,2.09155e-10,-0.485932603,0.00559738,0.134635651,-3.7699999809265137,0.7937990287635412,2.7944857075044816e-11,3.128382916074541e-12
lrp,6.39,2.51613e-15,1.62665e-12,0.030578714,0.8747683409999999,0.988871448,-4.25,0.7425359150530918,6.522992726425912e-14,1.0045740826566567e-12
