RNA1 name,RNA2 name,RNA1 chromosome,Start of RNA1 first read,Start of RNA1 last read,RNA1 strand,RNA2 chromosome,Start of RNA2 last read,Start of RNA2 first read,RNA2 strand,Number of interactions,Other interactions of RNA1,Other interactions of RNA2,Total other interactions,Odds ratio,Fishers exact test p-value,RNA1 type,RNA2 type
ArcZ,spaT#gene2917,NC_016810,3511861,3511870,+,NC_016810,3053560,3053941,-,13460,108266,6891,23490844,423.8081842,0,sRNA,CDS
ompX:5UTR#gene825,CyaR,NC_016810,898634,899098,+,NC_016810,2228878,2228933,+,12131,21480,84085,23501765,157.8498874,0,sRNA,sRNA
pitA#gene3615.5UTR,MgrR,NC_016810,3779844,3779853,+,NC_016810,1550812,1550844,+,8596,2482,34410,23573973,2372.6995,0,5UTR,sRNA
SL1344_2984#gene3039.5UTR,MgrR,NC_016810,3185646,3186016,+,NC_016810,1550776,1550844,+,6307,30754,37197,23545203,129.8122703,0,5UTR,sRNA
GcvB,MgrR,NC_016810,3156779,3157157,+,NC_016810,1550781,1550844,+,4580,670462,38924,22905495,4.019884059,0,sRNA,sRNA
mutY#gene3141.SL1344_3084#gene3140.IGR,MgrR,NC_016810,3289330,3289465,-,NC_016810,1550812,1550844,+,4202,1373,38804,23575082,1859.354619,0,IGR,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,ArcZ,NC_016810,2594628,2594707,-,NC_016810,3511843,3511942,+,3799,140912,52509,23422241,12.02585636,0,IGR,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,SdsR,NC_016810,2594631,2594697,-,NC_016810,1925620,1925674,-,3117,138300,20674,23457370,25.57227867,0,IGR,sRNA
ArcZ,aspA#gene4347,NC_016810,3511862,3511870,+,NC_016810,4592502,4592971,-,2638,119088,15489,23482246,33.5832748,0,sRNA,CDS
SL1344_2445#gene2491.acrD#gene2490.IGR,cspB#gene1950.5UTR,NC_016810,2594633,2594695,-,NC_016810,2036969,2037115,-,2544,138873,6040,23472004,71.18893919,0,IGR,5UTR
tRNA-Leu#rna62,ChiX,NC_016810,3482490,3482495,-,NC_016810,555529,555574,+,2339,776,14716401,8899945,1.822863757,2.27E-45,tRNA,sRNA
SL1344_2445#gene2491.acrD#gene2490.IGR,STnc3640.AS,NC_016810,2594632,2594701,-,NC_016810,1915904,1915908,-,2212,142499,1631,23473119,223.4035888,0.00E+00,IGR,AS
SL1344_4339#gene4426.5UTR,STnc440,NC_016810,4663812,4664110,+,NC_016810,4580508,4580566,+,1991,60523,38581,23518366,20.05323659,0,5UTR,sRNA
hilC#gene2899,STnc870,NC_016810,3034852,3035199,-,NC_016810,4292569,4292600,+,1897,15495,17183,23584886,168.0391754,0,CDS,sRNA
ArcZ,napF#gene2270,NC_016810,3511862,3511864,+,NC_016810,2356904,2357394,-,1722,120004,3469,23494266,97.18405286,0,sRNA,CDS
ArcZ,SL1344_1190#gene1208.5UTR,NC_016810,3511813,3511864,+,NC_016810,1295316,1295511,-,1660,120066,1893,23495842,171.6044101,0,sRNA,5UTR
STnc440,mdh#gene3387.5UTR,NC_016810,4580491,4580501,+,NC_016810,3549092,3549117,-,1617,43551,824,23573469,1062.204589,0,sRNA,5UTR
glpT#gene2291,CyaR,NC_016810,2386937,2387397,-,NC_016810,2228881,2228932,+,1581,40671,94635,23482574,9.645859512,0,CDS,sRNA
glmU#gene3889.glmS#gene3888.IGR,GlmZ,NC_016810,4092234,4092365,-,NC_016810,4163342,4163400,+,1355,4402,11869,23601835,612.0979106,0,IGR,sRNA
hilC#gene2899,MgrR,NC_016810,3035152,3035531,-,NC_016810,1550809,1550844,+,1304,46389,41702,23530066,15.86093708,0,CDS,sRNA
ompD#gene1523,InvR,NC_016810,1612306,1612791,+,NC_016810,3067508,3067588,+,1197,14974,396706,23206584,4.67626129,0,CDS,sRNA
tRNA-Asp#rna5,DapZ,NC_016810,294677,294861,+,NC_016810,74872,74927,+,1152,3363,296227,23318719,26.96532509,0,tRNA,sRNA
